名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page,城市
中国石油大学,http://travel.qunar.com/p-oi9534915-zhongguoshiyoudaxue,"

地址:
东营市东营区北一路739号


电话:
13805468864


官网:
http://www.upc.edu.cn/

",中国石油大学东营校区地处黄河三角洲的中心城市、生态之城、石油之城，山东东营。建校60多年来，学校形成了鲜明的办学特色，办学实力和办学水平不断提高。在新的历史时期，学校坚持特色发展，开放发展，和谐发展，正在向着“建设国内著名、石油学科国际一流的高水平研究型大学”的办学目标奋力迈进。而且校区内风光秀丽，浓重的文学氛围在这里环绕，让人流连忘返。,全天,https://tr-osdcp.qunarzz.com/tr-osd-tr-mapi/img/86f1c5719e2dbd9c1970c6a6bdf36b9d.jpg_480x360x95_f63e81ed.jpg,5.0,建议游览时间：2小时 - 3小时,,免费,,1,东营
白银平川红山寺石窟Baiyin Pinchuan Hongshan Temple Grottoes,http://travel.qunar.com/p-oi705130-baiyinpingchuanhongshan,"

地址:
白银市平川区共红段

",红山寺石窟历史悠久，至今仍然保存得很好，石窟内放置有几尊佛像，是一处非常有历史意义的建筑。,全年 全天开放,https://img1.qunarzz.com/travel/d7/1506/73/0c7dccbe784a62.jpg_480x360x95_50aedbf5.jpg,5.0,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,2,中卫
龙瑞塔,http://travel.qunar.com/p-oi707053-longruita,,"龙瑞塔高5层，30米。为六角攒尖顶，楼阁式砖结构，红方砖铺地。底层面积39平方米。第五层窗额镶嵌有""天章""石匾，门额石匾阳刻楷书：""云汉为章""，左右对联：""默宰灵枢宣雅化，宏开景运翼斯文""，用楷书阴刻而成。1990年被公布为中山市文物保护单位。现该塔保存完好。",,,5.0,,,,,3,中山
董氏砖雕墓,http://travel.qunar.com/p-oi703881-dongshizhuandiaomu,,在山西侯马市西北郊基建工地发现，1959年和1969年，分别迁于山西考古研究所候马工作站院内。墓主人一名董海，一名董明，先后于金明昌七年（1196年）和大安二年（1210年）埋葬。均为仿木构砖雕墓，平面皆方形。董海墓为前后两室，系我国北方地区传统的四合院形制。结构复杂，比例适当，磨砖对缝，手法严谨，墓室内壁雕刻有翎毛花卉，八仙人物，戏剧故事以及飞马、奔鹿、走狮等动物，琳琅满目，华丽似锦，具有很高的建筑与雕刻艺术价值。董明墓的北壁，砌有一座小戏台及生、末、净、旦、...在山西侯马市西北郊基建工地发现，1959年和1969年，分别迁于山西考古研究所候马工作站院内。墓主人一名董海，一名董明，先后于金明昌七年（1196年）和大安二年（1210年）埋葬。均为仿木构砖雕墓，平面皆方形。董海墓为前后两室，系我国北方地区传统的四合院形制。结构复杂，比例适当，磨砖对缝，手法严谨，墓室内壁雕刻有翎毛花卉，八仙人物，戏剧故事以及飞马、奔鹿、走狮等动物，琳琅满目，华丽似锦，具有很高的建筑与雕刻艺术价值。董明墓的北壁，砌有一座小戏台及生、末、净、旦、丑五个戏俑，生动活泼，维妙维肖，是我国早期戏剧表演艺术的再现，为研究宋金戏剧提供了宝贵的资料。,,,5.0,,,,,3,临汾
天宝山,http://travel.qunar.com/p-oi9149819-tianbaoshan,,"清咸丰年间，为避匪祸，近处村民在山上构筑围寨，贼寇屡次来攻，在危急时刻，似有天公相助，其他山寨具破，惟此山寨巍然屹立，村民遂改名“天保山”现名天宝山及天保山的谐音。周围方圆20多平方公里,峰峦起伏,山清水秀，花果遍地，风光旖旎。在八十年代末，其中的九间棚村奋发图强，自力更生，把一个坐落在山顶上的小村庄建设得花团锦簇，有模有样的，引得四面八方前来参观学习，一时间名闻遐迩。然而天宝山的出名，最早却是因为它是山东黄梨集中产地之一，素有黄梨之乡的美誉。其间最...清咸丰年间，为避匪祸，近处村民在山上构筑围寨，贼寇屡次来攻，在危急时刻，似有天公相助，其他山寨具破，惟此山寨巍然屹立，村民遂改名“天保山”现名天宝山及天保山的谐音。周围方圆20多平方公里,峰峦起伏,山清水秀，花果遍地，风光旖旎。在八十年代末，其中的九间棚村奋发图强，自力更生，把一个坐落在山顶上的小村庄建设得花团锦簇，有模有样的，引得四面八方前来参观学习，一时间名闻遐迩。然而天宝山的出名，最早却是因为它是山东黄梨集中产地之一，素有黄梨之乡的美誉。其间最负盛名的，要数天宝山西麓的大峪沟，民间曾有评价说：“两个济宁州，赶不上一个大峪沟”",,https://img1.qunarzz.com/travel/poi/1512/66/89585267a2691df7.jpg_480x360x95_ebc32a51.jpg,5.0,,3月-7月最佳。 临沂气候为暖温带季风大陆型气候，四季分明，雨量充沛，气侯温和，夏季气温较高，炎热而多雷雨；冬季寒冷，最低可达零下11.1℃，晴好天气较多，雨雪天气较少，但干燥而寒冷；春季回暖快，少雨，但偶尔略有大风；秋季凉爽宜人，适合出游。,,,1,临沂
临沧凤庆二道河,http://travel.qunar.com/p-oi39587638-lincangfengqingerdaohe,,,,,5.0,,,,,2,临沧
茉莉轩Molixuan,http://travel.qunar.com/p-oi10001594-molixuan,,位于临城镇西北4公里处，在现在的临高师范学校内。茉莉轩原为宋代临高县令谢渥所建的学馆。谢渥在庭院内种了许多茉莉花，故名“茉莉轩”。宋绍兴十八年（公元1146年），宰相胡铨被贬到海南来，他经过临高时，谢渥迎接他到茉莉轩中住了一段时间。胡铨在此写下了一首《题茉莉轩》的诗，从此茉莉轩名声越来越大。据临高县志记载，当时临高县博顿村有个叫戴定实的人曾得到胡铨的指点，因而发奋读书，后来考中举人并在吏部任职。历来人们都把茉莉轩看作是中原文化在临高传播的一个中心。,,https://img1.qunarzz.com/travel/poi/1712/20/462eef023ae56b37.jpg_480x360x95_ff001c2a.jpg,5.0,建议游览时间：2小时,,具体收费情况以现场公示为主,,2,临高
三道湾风景区Sandaowan Scenic Area,http://travel.qunar.com/p-oi35912608-sandaowanfengjingqu,,,,,5.0,建议游览时间：12小时 - 3天,,具体收费情况以景区现场公示为主。,,5,丹东
举水月山村,http://travel.qunar.com/p-oi714167-jushuiyueshancun,"

地址:
浙江省庆元县举水乡月山村

",,全天开放,https://img1.qunarzz.com/travel/d1/1508/68/620b7e888b0711.jpg_480x360x95_d2ad9d40.jpg,5.0,建议游览时间：1小时 - 3小时,,{'举水月山村电子导览票大小同价\n\n': ['¥5起']},,5,丽水
玉柱擎天,http://travel.qunar.com/p-oi706323-yuzhuqingtian,"

地址:
云南-丽江玉龙雪山主峰南麓

",,全天,https://mp-commentcp.qunarzz.com/mp_comment_mp_comment/1559156727974100w14000000x5uyv8E6B_D_640_10000.jpg_480x360x95_9c655a59.jpg,5.0,建议游览时间：2小时 - 4小时,四季皆宜。,免费,,7,丽江
红石崖国家生态公园,http://travel.qunar.com/p-oi38920886-hongshiyaguojiashengtai,,红石崖国家生态公园坐落于大青山北，东临察右中旗 ，南接呼和浩特新城区，西靠武川县，北邻四子王旗。占地面积十万多亩，牧场拥有羊3000多只、牛500多头、马200多匹、骆驼100多峰，牦牛100多头还有六千亩梅花鹿场。红石崖国家生态公园如绿色的海洋波涛万顷。可谓是天苍苍野茫茫，风吹草低见牛羊，蓝天白云犹如绚丽的油画，让人心旷神怡，是游客体验大自然、体验草原生态文化的天然基地。,,,5.0,,,,,3,乌兰察布
阅微草堂,http://travel.qunar.com/p-oi708596-yueweicaotang,"

地址:
乌鲁木齐人民公园

",1918年，杨增新为纪念流放来乌鲁木齐的翰林院侍读学士纪晓岚，在乌鲁木齐人民公园修建了一排长廊平房，命名为“阅微草堂”（1995年重建)。纪晓岚（公元1724-1805年），河北献县人。公元1768年，两淮盐运使司亏空1000万两白银，乾隆皇帝准备追究历任两淮盐运使，然翰林院侍读学士纪晓岚却私下将此绝密转告已作还乡的两淮盐运使之一曾卢见（卢见曾是纪晓岚大女婿的祖父），因此被乾隆皇帝流放新疆乌鲁木齐。《乌鲁木齐杂诗》和《阅微草堂笔记》是纪晓岚有关新疆的著作。纪晓岚在乌鲁木...1918年，杨增新为纪念流放来乌鲁木齐的翰林院侍读学士纪晓岚，在乌鲁木齐人民公园修建了一排长廊平房，命名为“阅微草堂”（1995年重建)。纪晓岚（公元1724-1805年），河北献县人。公元1768年，两淮盐运使司亏空1000万两白银，乾隆皇帝准备追究历任两淮盐运使，然翰林院侍读学士纪晓岚却私下将此绝密转告已作还乡的两淮盐运使之一曾卢见（卢见曾是纪晓岚大女婿的祖父），因此被乾隆皇帝流放新疆乌鲁木齐。《乌鲁木齐杂诗》和《阅微草堂笔记》是纪晓岚有关新疆的著作。纪晓岚在乌鲁木齐写的《阅微草堂笔记》是中国清代三大著名小说之一（另，两部是《石头计》和《聊斋志异》）。,全天,https://img1.qunarzz.com/travel/poi/1512/cd/90479649e35c21f7.jpg_480x360x95_43ab8694.jpg,5.0,,,,,4,乌鲁木齐
波波利海岸,http://travel.qunar.com/p-oi38336401-bobolihaian,,,,,5.0,,,,,1,乐东
天庭观景,http://travel.qunar.com/p-oi721569-tiantingguanjing,,即金顶观景。金顶观景台，是世界上最壮观的观景台，能容纳数千人观景。站在群峰环合的孤峰之上，环顾玉峰素裹的四壁，横陈西天的贡嘎雪山，峨眉山的风骨俊朗、精神逸韵尽收眼底。,,https://img1.qunarzz.com/travel/d2/1507/f9/4bf855af7567a4.jpg_480x360x95_22d990f0.jpg,5.0,,,,,5,乐山
鄱阳湖,http://travel.qunar.com/p-oi38035187-poyanghu,,,,,5.0,,,具体收费情况以现场公示为主,,1,九江
新兴东街牌坊,http://travel.qunar.com/p-oi39601977-xinxingdongjiepaifang,,,,,5.0,,,,,1,云浮
新疆东道海子沙漠风光旅游区,http://travel.qunar.com/p-oi38341725-xinjiangdongdaohaizisha,,新疆东道海子沙漠风光旅游区，来到这里能看到海子上成群的白色水鸟，它们安祥的在这片属于它们的天空下游弋。蓝天、碧波、白色的鸟还有这大片的沙漠组成了一片美丽的图画。,,,5.0,建议游览时间：2小时 - 4小时,,具体收费情况以现场公示为主,,1,五家渠
阿陀岭森林公园,http://travel.qunar.com/p-oi721493-atuolingsenlingongyuan,"

地址:
五指山市翡翠城北郊毗的阿陀岭

",公园内山水相依，风景秀丽。有原始森林、人工林、溪流、清泉和蜿蜒连绵起伏的群山、太平飞瀑、青春岭飞瀑等具有魅力的自然景观。阿陀岭森林公园生长着大量的热带天然林和人工林，具有常绿、多层混交、异龄等特点，主要类型有热带雨林、热带季雨林和常绿阔叶林等，森林资源极为丰富。森林的覆盖率达90%左右，已查明的野生植物共有1600多种，400科，有乔灌木60科，700多种。其中陆生药用植物100多种，经济木材56种，纤维植物56种，此外还有花卉与绿化树种等多种。野生动物资源也十分丰...公园内山水相依，风景秀丽。有原始森林、人工林、溪流、清泉和蜿蜒连绵起伏的群山、太平飞瀑、青春岭飞瀑等具有魅力的自然景观。阿陀岭森林公园生长着大量的热带天然林和人工林，具有常绿、多层混交、异龄等特点，主要类型有热带雨林、热带季雨林和常绿阔叶林等，森林资源极为丰富。森林的覆盖率达90%左右，已查明的野生植物共有1600多种，400科，有乔灌木60科，700多种。其中陆生药用植物100多种，经济木材56种，纤维植物56种，此外还有花卉与绿化树种等多种。野生动物资源也十分丰富，已查明的兽类有3目30多种，鸟类7目30科120种，两栖爬行类3目40种，被列入国家级保护的珍稀动物有：孔雀雉、海南山鹧鸪、巨蜥、蟒蛇等6种，此外还有列入国家二级保护动物的穿山甲等16种，省级保护野生动物12种。另外阿陀岭森林公园地处五指山腹部地带，属热带雨林季风气候，冬暖夏凉，夏季低温多雨，秋季温凉湿润，四季如春，享有“天然空调”之美称。虽然，阿陀岭没有黄山、峨眉山、泰山、那样高耸凌空、巍峨壮丽、闻名遐迩，但登上阿陀岭赋予人的感受却是：视野开阔，胸襟宽畅；山岭伏，浩瀚如海；翠城全貌，尽收眼底；云雾飘渺，翻飞波澜；景色雄奇，风光秀丽……美不胜收，具有非常独特的一面。是适合开发登山、观山、车线等游览项目的最佳地方。沿着盘山公路进入林区，既可观赏到各种珍稀林木，又可谛听到各种鸟叫蟑呜，别有一番情趣。,全天,https://img1.qunarzz.com/travel/poi/201211/15/d7a57a5e0466567fddb12cfb.jpg_480x360x95_ec5f7aab.jpg,5.0,,,免费,,1,五指山
太清宫老君殿遗址,http://travel.qunar.com/p-oi703481-taiqinggonglaojundian,,1992年底，在安徽省文物考古所专家的指导下，对太清宫旧址进行发掘，揭露面积3700平方米，发现一大批汉至六朝时期的建筑构件和重要建筑遗迹，其中宋代老君殿基址较为完整。殿基呈繁写的“亚”字形，坐北朝南，东西30.30米，南北14.50米，系高台建筑。台基下四周有宽0.8米的砖铺散水，南面正门下有台阶，阶下有砖铺台明，均为宋砖砌筑，并有“祥符元宝”铜钱压基，为宋真宗时期的建筑物。此遗址已被安徽省人民政府定为省级重点文物保护单位。,,,5.0,,,,,2,亳州
仙桃女人街NvRen Jie,http://travel.qunar.com/p-oi24439716-xiantaonu:renjie,,,,,5.0,,,具体收费情况以现场公示为主,,1,仙桃
小兴安岭恐龙博物馆,http://travel.qunar.com/p-oi701720-xiaoxinganlingkonglong,"

地址:
中国黑龙江大兴安岭地区

",小兴安岭恐龙博物馆位于市中心水上公园西侧，总面积为4500平方米，共展出生活在白垩纪和侏罗纪时期的大小恐龙化石骨架7具。这些恐龙骨架大部分取自无嘉荫县龙骨山。嘉荫县龙骨山位于黑龙江中游右岸，因埋藏着大量的七千万前古生物恐龙化石而得名，由此引起了各国专家学者的极大关注，慕名考察观光的中外学者、专家和游客络绎不绝。,周一至周五上午 8：00---11：10；下午14：00---16：40（周五下午闭馆）；周六、周日9：00---14：40,,5.0,,,10元（学生5元）,,2,伊春
雪岭云杉自然保护区,http://travel.qunar.com/p-oi702378-xuelingyunshanziranbao,"

地址:
新疆伊犁地区巩留县东南60千米

",,9:00-17:00,https://img1.qunarzz.com/travel/poi/1408/20/5e591bf183934183ffffffffc8d65eac.jpg_480x360x95_0c817e06.jpg,5.0,建议游览时间：2小时,,30元,,4,伊犁
高基街,http://travel.qunar.com/p-oi5859057-gaojijie,,,,,5.0,,,,,4,佛山
八五九农场二十六队859 Farm Team 26 Village,http://travel.qunar.com/p-oi35474466-bawujiunongchangershi,,,,,5.0,,,具体收费情况以现场公示为主,,3,佳木斯
七仙岭温泉,http://travel.qunar.com/p-oi7528470-qixianlingwenquan,"

地址:
海南省保亭黎族苗族自治县七仙岭温泉旅游区1号七仙岭温泉国家森林公园	

",温泉温度最高可达95℃，现有自喷泉眼7只，日出水量7000多吨，含有多种微量元素，温泉水属硅酸重碳酸钠型水，日出水量3800多L，是海南岛探明的出水量最大、温度最高的温泉，具有清净肌肤、美容、医疗保健等功效。现已建成数家温泉度假村，可供游客度假休闲，活动内容有矿泉疗养康复、观赏民族风情、参加登山观景等。,08:00-22:30,https://tr-osdcp.qunarzz.com/tr-osd-tr-space/img/ca15dd0f2a4200e33c417529fd1f328d.jpg_480x360x95_127bbe0c.jpg,5.0,建议游览时间：6小时,四季皆宜。,30元,,1,保亭
清真西寺,http://travel.qunar.com/p-oi709075-qingzhenxisi,,位于保定市清真寺街15号。保定市原有清真寺9座，现开放的有8座。清真西寺是其中规模最大、历史最久的一座。它始建于明万历四十四年（1616年），修有正殿3间、讲堂及水房，清未民初又以几次扩建修整始具规模。现寺内有房59间，正殿20间，南北讲堂12间，水房18间及工具房、配房等。寺内还有大小碑刻6通。整个寺院保存完好,,https://img1.qunarzz.com/travel/d9/1703/22/da35bfe3b9ac60b5.jpg_480x360x95_43e8d90f.jpg,5.0,,,,,3,保定
百花岭生态旅游区Baihualing Ecology Tourist Zone,http://travel.qunar.com/p-oi10034722-baihualingshengtailu:,"

地址:
保山市隆阳区芒宽乡百花岭村

",百花岭是一个让无数摄影爱好者神魂颠倒的地方，光是听名字就已经够有吸引力了。百花岭位于距离芒宽乡镇约35公里的地方，紧靠高黎贡山自然保护区。这是一个神奇的地方，它集三峡的险峻，黄果树的雄奇，九寨沟的幽静于一体，是一个不折不扣的自然风景区。,全年 全天开放,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/0de695751b23e1b4ed2df2b3b0fc5099.jpg_480x360x95_1eccc092.jpg,5.0,建议游览时间：1小时,,{'腾冲精选景区一日游（线路任选，零等待 出行自由 司机兼向导）\n\n': ['¥280起']},,1,保山
金兰山,http://travel.qunar.com/p-oi702019-jinlanshan,,金兰山国家森林公园，地处亚热带向暧温带过渡地带，是我国华东、华中、华北三大植物区系交汇处和我国动植物南迁北移的缓冲带，森林资源丰富，树木种类繁多。有森林面积3072公顷，森林覆盖率93.1%，植物种类2000多种，其中国家重点保护植物19种。有野生动物300种及1000多种昆虫，其中国家重点保护动物34种。金兰山国家森林公园，总面积33.3平方公里，由金兰山、连康山、西大山、九龙潭四大景区构成。 金兰山：为金兰山景区重要核心，海拔703米，三峰刺天、道观悬空，真武宫、玉皇阁、...金兰山国家森林公园，地处亚热带向暧温带过渡地带，是我国华东、华中、华北三大植物区系交汇处和我国动植物南迁北移的缓冲带，森林资源丰富，树木种类繁多。有森林面积3072公顷，森林覆盖率93.1%，植物种类2000多种，其中国家重点保护植物19种。有野生动物300种及1000多种昆虫，其中国家重点保护动物34种。金兰山国家森林公园，总面积33.3平方公里，由金兰山、连康山、西大山、九龙潭四大景区构成。 金兰山：为金兰山景区重要核心，海拔703米，三峰刺天、道观悬空，真武宫、玉皇阁、灵官殿、娘娘殿、三圣殿等道观群始建于宋朝端平年间，盛于明清，衰于近代，近年兴起，且一字排列在三峰之上，“金兰山的祖师应远又应近”远近闻名，每年正月十六、二月二、三月三、九月九为传统庙会，远近香客逾十多万人。进金兰山途经圣人谷，老子传道、关尹子问道、庄子解道三尊巨石自然逼真，惟妙惟肖等距排列于谷中，似道家始祖云游四海，相聚于此，玄妙莫测。连康山：原始森林遮天蔽日，人文古迹遍地可见。《光山县志》载“三国时连康在此立寨”。有莲塘七十二庵、一关、二关、三关、箱子石、连理树、笑天猴、扯旗尖、圆寂和尚塔等景点。九龙溪：长10余公里，曲折于群山茂林之中，瀑、潭遍布。瀑布有牝泉、九龙飞瀑，潭有黄龙潭、黑龙瀑、白龙潭、九龙潭、青龙潭，其中九龙潭水碧如玉，群山环绕，为公园标志性景观。溪有连康河、九溪、林壑涧等；瀑布有娃娃凼、牝泉、九龙瀑布、西山瀑布等；湖泊有银河天池、金兰湖、王沟湖、五里岗湖、白龙池等。,,https://img1.qunarzz.com/piao/fusion/1604/ee/e9e3e6f9a519dbf7.jpg_480x360x95_be95469e.jpg,5.0,,,25元,,2,信阳
海花岛婚礼庄园,http://travel.qunar.com/p-oi38937427-haihuadaohunlizhuangyuan,,,,,5.0,,,,,3,儋州
乌恰县文化图书馆Ulugqat Culture Library,http://travel.qunar.com/p-oi19474053-wuqiaxianwenhuatushuguan,,,,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/40b6aed56114fdaa2ddabd0473d4db29.jpg_480x360x95_ec009e6c.jpg,5.0,建议游览时间：2小时,,,,4,克孜勒苏柯尔克孜
铁马广场,http://travel.qunar.com/p-oi38340859-tiemaguangchang,,,,,5.0,,,,,2,克拉玛依
响洪甸,http://travel.qunar.com/p-oi701638-xianghongdian,,位于西淠河流域，主要风景有响洪甸水库、齐山、莲花山等处。响洪甸水库：响洪甸水库坐落在响洪甸镇驻驾湾村的西淠河上，坝型为半径同心圆混凝土重力坝，坝高875米，弧长304米，横臣于苍山云海之间，库区通航里程多20公里，烟波浩渺、碧水千里、两岸山峰峙，重峦迭翠被誉为皖西的“小桂林”。齐 山：在库区的响齐办事处、响洪甸镇之间，一面依山，三面环水。《六安州志称》：齐山因“顶峰而平，故名”。齐山拥雾，旧为六安州八景之一。,,,5.0,,,,,2,六安
